LaptopID,Company,Product,TypeName,Inches,ScreenResolution,CPU,RAM,Memory,GPU,OS,Weight,Price in Rs
339,lenovo,v310-15isk (i3-6006u/4gb/1tb/fhd/w10),notebook,15.6,full hd 1920x1080,intel core i3 6006u 2ghz,4,1tb hdd,intel hd graphics 520,windows,1.85kg,48492.0
340,asus,fx553vd-fy647t (i7-7700hq/8gb/256gb/geforce,gaming,15.6,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8,256gb ssd,nvidia geforce gtx 1050,windows,2.5kg,107892.0
341,hp,elitebook 840,notebook,14.0,full hd 1920x1080,intel core i5 7300u 2.6ghz,8,256gb ssd,intel hd graphics 620,windows,1.48kg,136944.0
342,dell,inspiron 7570,ultrabook,15.6,ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,8,128gb ssd +  1tb hdd,nvidia geforce 940mx,windows,1.9kg,113292.0
343,hp,elitebook 850,notebook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,8,256gb ssd,intel hd graphics 620,windows,1.84kg,123552.0
344,asus,x541na (n3350/4gb/1tb/linux),notebook,15.6,1366x768,intel celeron dual core n3350 1.1ghz,4,1tb hdd,intel hd graphics 500,linux,2kg,29698.92
345,dell,inspiron 7570,notebook,15.6,full hd 1920x1080,intel core i5 8250u 1.6ghz,8,256gb ssd,nvidia geforce 940mx,windows,2kg,123417.0
346,dell,inspiron 3552,notebook,15.6,1366x768,intel celeron dual core n3060 1.6ghz,4,500gb hdd,intel hd graphics,linux,2.2kg,29689.2
347,lenovo,ideapad 320-15abr,notebook,15.6,full hd 1920x1080,amd a12-series 9720p 3.6ghz,12,2tb hdd,amd radeon 530,windows,2.2kg,97092.0
348,hp,probook 450,notebook,15.6,ips panel full hd 1920x1080,intel core i3 7100u 2.4ghz,8,1tb hdd,nvidia geforce 930mx,windows,2.1kg,77328.0
349,lenovo,yoga 920-13ikb,2 in 1 convertible,13.9,ips panel 4k ultra hd / touchscreen 3840x2160,intel core i7 8550u 1.8ghz,16,512gb ssd,intel uhd graphics 620,windows,1.4kg,226692.0
350,dell,xps 13,ultrabook,13.3,full hd 1920x1080,intel core i7 8550u 1.8ghz,8,256gb ssd,intel uhd graphics 620,windows,1.2kg,170532.0
351,lenovo,legion y520-15ikbn,gaming,15.6,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,16,256gb ssd +  2tb hdd,nvidia geforce gtx 1050 ti,windows,2.4kg,121932.0
352,hp,stream 14-ax001nv,notebook,14.0,1366x768,intel celeron dual core n3060 1.6ghz,2,32gb flash storage,intel hd graphics 400,windows,1.44kg,30132.0
353,dell,latitude 5590,ultrabook,15.6,full hd 1920x1080,intel core i7 8650u 1.9ghz,16,512gb ssd +  256gb ssd,intel uhd graphics 620,windows,1.88kg,173659.68
354,asus,vivobook flip,2 in 1 convertible,11.6,touchscreen 1366x768,intel celeron dual core n3350 1.1ghz,4,32gb flash storage,intel hd graphics 500,windows,1.5kg,40500.0
355,dell,inspiron 5570,ultrabook,15.6,full hd 1920x1080,intel core i5 8250u 1.6ghz,8,1tb hdd,amd radeon 530,windows,1.9kg,71604.0
356,dell,xps 15,notebook,15.6,4k ultra hd / touchscreen 3840x2160,intel core i7 7700hq 2.8ghz,16,512gb ssd,nvidia geforce gtx 1050,windows,2.06kg,218961.36
357,hp,elitebook 850,notebook,15.6,full hd 1920x1080,intel core i7 7500u 2.7ghz,8,256gb ssd,intel hd graphics 620,windows,1.84kg,140832.0
358,msi,gp72mvr 7rfx,gaming,17.3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8,128gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows,2.7kg,152172.0
359,hp,zbook 15,workstation,15.6,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8,256gb ssd,nvidia quadro m1200,windows,2.6kg,187733.16
360,toshiba,tecra a50-c-21g,notebook,15.6,ips panel full hd 1920x1080,intel core i7 6500u 2.5ghz,16,512gb ssd,nvidia geforce 930m,windows,2.4kg,151524.0
361,dell,inspiron 5570,notebook,15.6,full hd 1920x1080,intel core i7 8550u 1.8ghz,8,128gb ssd +  2tb hdd,amd radeon 530,windows,2.02kg,104857.2
362,lenovo,ideapad 320-15iap,notebook,15.6,1366x768,intel celeron dual core n3350 1.1ghz,4,1tb hdd,intel hd graphics 500,no os,2.2kg,34774.92
363,dell,inspiron 7577,gaming,15.6,full hd 1920x1080,intel core i5 7300hq 2.5ghz,8,1tb hdd,nvidia geforce gtx 1050,windows,2.65kg,107892.0
364,dell,inspiron 3567,notebook,15.6,touchscreen 1366x768,intel core i5 7200u 2.5ghz,8,2tb hdd,intel hd graphics 620,windows,2.36kg,60195.96
365,dell,latitude 7480,notebook,14.0,full hd 1920x1080,intel core i5 7300u 2.6ghz,8,256gb ssd,intel hd graphics 620,windows,1.36kg,154116.0
366,hp,250 g6,notebook,15.6,1366x768,intel core i3 6006u 2ghz,4,500gb hdd,intel hd graphics 520,windows,1.86kg,47412.0
367,asus,zenbook ux410ua-gv027t,notebook,14.0,full hd 1920x1080,intel core i5 7200u 2.5ghz,8,256gb ssd,intel hd graphics 620,windows,2kg,102060.0
368,lenovo,ideapad 320-17ikb,notebook,17.3,1600x900,intel core i5 7200u 2.5ghz,6,128gb ssd +  1tb hdd,nvidia geforce gtx 940mx,windows,2.8kg,77652.0
369,hp,250 g6,notebook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,8,1tb hdd,intel hd graphics 620,windows,1.86kg,69012.0
370,lenovo,ideapad 320-15isk,notebook,15.6,1366x768,intel core i3 6006u 2ghz,8,256gb ssd,nvidia geforce 920mx,no os,2.2kg,53892.0
371,hp,15-ay023na (n3710/8gb/2tb/w10),notebook,15.6,1366x768,intel pentium quad core n3710 1.6ghz,8,2tb hdd,intel hd graphics 405,windows,2.04kg,42012.0
372,dell,inspiron 5770,notebook,17.3,full hd 1920x1080,intel core i5 8250u 1.6ghz,8,128gb ssd +  1tb hdd,amd radeon 530,windows,2.8kg,117180.0
373,lenovo,legion y520-15ikbn,gaming,15.6,ips panel full hd 1920x1080,intel core i5 7300hq 2.5ghz,8,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,no os,2.4kg,87372.0
374,dell,inspiron 5567,notebook,15.6,full hd 1920x1080,intel core i7 7500u 2.7ghz,8,256gb ssd,amd radeon r7 m445,windows,2.33kg,97092.0
375,hp,elitebook 1040,ultrabook,14.0,ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,8,256gb ssd,intel hd graphics 620,windows,1.36kg,189000.0
376,asus,zenbook flip,2 in 1 convertible,15.6,full hd / touchscreen 1920x1080,intel core i7 7500u 2.7ghz,12,512gb ssd +  2tb hdd,nvidia geforce gt 940mx,windows,2.26kg,118692.0
377,acer,aspire 3,notebook,15.6,1366x768,amd a9-series 9420 3ghz,4,128gb ssd,amd radeon r5,windows,2.1kg,46008.0
378,asus,rog strix,gaming,17.3,ips panel full hd 1920x1080,amd ryzen 1700 3ghz,16,256gb ssd +  1tb hdd,amd radeon rx 580,windows,3.25kg,237492.0
379,lenovo,ideapad 110-17acl,notebook,17.3,1600x900,amd a8-series 7410 2.2ghz,4,128gb ssd,amd radeon r5,windows,2.6kg,52812.0
380,dell,inspiron 5379,2 in 1 convertible,13.3,full hd / touchscreen 1920x1080,intel core i7 8550u 1.8ghz,8,256gb ssd,intel uhd graphics 620,windows,1.62kg,93853.08
381,hp,15-bw003nv (a9-series-9420/4gb/256gb/fhd/w10),notebook,15.6,full hd 1920x1080,amd a9-series 9420 3ghz,4,256gb ssd,amd radeon r5,windows,1.91kg,52810.92
382,lenovo,yoga 11e,netbook,11.6,ips panel 1366x768,intel celeron quad core n3450 1.1ghz,4,128gb ssd,intel hd graphics 500,windows,1.59kg,59724.0
383,dell,inspiron 3552,notebook,15.6,1366x768,intel celeron dual core n3060 1.60ghz,4,500gb hdd,intel hd graphics 400,windows,1.8kg,33372.0
384,asus,vivobook e403na,notebook,14.0,1366x768,intel celeron dual core n3350 1.1ghz,4,32gb flash storage,intel hd graphics 500,windows,1.5kg,30888.0
385,acer,aspire 7,notebook,15.6,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8,1tb hdd,nvidia geforce gtx 1050,linux,2.4kg,91368.0
386,hp,omen 17-w212nv,gaming,17.3,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,8,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows,3.35kg,128628.0
387,lenovo,v310-15isk (i3-6006u/4gb/128gb/fhd/no,notebook,15.6,full hd 1920x1080,intel core i3 6006u 2ghz,4,128gb ssd,intel hd graphics 520,no os,1.85kg,43578.0
388,asus,rog strix,gaming,15.6,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,8,128gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows,2.3kg,178740.0
389,lenovo,ideapad 720s-14ikb,notebook,14.0,ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8,256gb ssd,nvidia geforce 940mx,windows,1.5kg,118692.0
390,asus,zenbook flip,ultrabook,13.3,full hd / touchscreen 1920x1080,intel core i7 7500u 2.7ghz,16,512gb ssd,intel hd graphics 620,windows,1.1kg,188881.2
391,lenovo,thinkpad x1,ultrabook,14.0,ips panel 2560x1440,intel core i7 7500u 2.7ghz,8,512gb ssd,intel hd graphics 620,windows,1.13kg,246456.0
392,lenovo,ideapad 510s-13ikb,notebook,13.3,ips panel full hd 1920x1080,intel core i3 7100u 2.4ghz,4,128gb ssd,intel hd graphics 620,windows,1.5kg,59292.0
393,dell,precision 3510,workstation,15.6,full hd 1920x1080,intel core i5 6440hq 2.6ghz,8,500gb hdd,amd firepro w5130m,windows,2.23kg,147852.0
394,dell,precision 5520,workstation,15.6,ips panel full hd 1920x1080,intel core i7 6820hq 2.7ghz,8,256gb ssd,nvidia quadro m1200,windows,2kg,230580.0
395,lenovo,thinkpad x1,2 in 1 convertible,14.0,touchscreen 2560x1440,intel core i7 7500u 2.7ghz,16,512gb ssd,intel hd graphics 620,windows,1.42kg,270972.0
396,asus,rog gl753vd-gc042t,gaming,17.3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8,1tb hdd,nvidia geforce gtx 1050,windows,3kg,112212.0
397,asus,rog gl753ve-gc070t,gaming,17.3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16,256gb ssd +  1tb hdd,nvidia geforce gtx 1050 ti,windows,3kg,171828.0
399,acer,aspire 5,notebook,15.6,ips panel 1366x768,intel core i5 8250u 1.6ghz,12,1tb hdd,nvidia geforce mx130,windows,2.2kg,74950.92
400,msi,leopard gp72m,gaming,17.3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8,256gb ssd,nvidia geforce gtx 1050 ti,windows,2.7kg,145692.0
401,dell,inspiron 5567,notebook,15.6,full hd 1920x1080,intel core i7 7500u 2.7ghz,8,256gb ssd,amd radeon r7 m445,linux,2.33kg,84117.96
402,hp,15-bw004nv (a9-9420/4gb/256gb/radeon,ultrabook,15.6,full hd 1920x1080,amd a9-series 9420 3ghz,4,256gb ssd,amd radeon 520,windows,1.91kg,53892.0
403,lenovo,thinkpad e580,notebook,15.6,ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8,256gb ssd,amd radeon rx 550,windows,2.1kg,132792.47999999998
404,lenovo,thinkpad l470,notebook,14.0,ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8,256gb ssd,intel hd graphics 620,windows,1.9kg,101304.0
405,dell,precision m5520,workstation,15.6,4k ultra hd / touchscreen 3840x2160,intel core i7 7700hq 2.8ghz,8,256gb ssd,nvidia quadro m1200,windows,1.78kg,292896.0
406,lenovo,thinkpad x1,ultrabook,14.0,ips panel 2560x1440,intel core i7 7500u 2.7ghz,16,1tb ssd,intel hd graphics 620,windows,1.13kg,283500.0
407,lenovo,ideapad 320-15iap,notebook,15.6,1366x768,intel celeron dual core n3350 1.1ghz,4,1tb hdd,intel hd graphics 500,windows,2.2kg,33048.0
408,asus,fx753vd-gc461t (i7-7700hq/16gb/1tb,gaming,17.3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16,256gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows,2.9kg,165132.0
409,lenovo,thinkpad e580,notebook,15.6,ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,8,256gb ssd +  1tb hdd,amd radeon rx 550,windows,2.1kg,123606.0
410,acer,aspire 7,notebook,15.6,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8,256gb ssd,nvidia geforce gtx 1050,linux,2.5kg,94932.0
411,msi,ge73vr 7rf,gaming,17.3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,windows,2.8kg,242892.0
412,asus,zenbook 3,ultrabook,14.0,full hd 1920x1080,intel core i7 7500u 2.7ghz,8,512gb ssd,intel hd graphics 620,windows,1.10kg,202284.0
413,toshiba,portege z30-c-16p,ultrabook,13.3,full hd 1920x1080,intel core i7 6500u 2.5ghz,16,512gb ssd,intel hd graphics 520,windows,1.2kg,188676.0
414,dell,latitude 7480,ultrabook,14.0,full hd 1920x1080,intel core i7 7600u 2.8ghz,8,512gb ssd,intel hd graphics,windows,1.36kg,181440.0
415,lenovo,ideapad 320-15isk,notebook,15.6,full hd 1920x1080,intel core i3 6006u 2ghz,4,500gb hdd,intel hd graphics 520,windows,2.2kg,44172.0
416,lenovo,lenovo ideapad,notebook,11.6,1366x768,intel celeron dual core n3350 1.1ghz,2,32gb flash storage,intel hd graphics 500,windows,1.15kg,32880.6
417,lenovo,thinkpad p51,workstation,15.6,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8,512gb ssd,nvidia quadro m1200,windows,2.67kg,207900.0
418,lenovo,thinkpad t470p,ultrabook,14.0,ips panel full hd 2560x1440,intel core i7 7700hq 2.8ghz,8,512gb ssd,nvidia geforce gt 940mx,windows,1.7kg,209844.0
419,hp,15-bs028nv (i3-6006u/4gb/1tb/radeon,notebook,15.6,full hd 1920x1080,intel core i3 6006u 2ghz,4,1tb hdd,amd radeon 520,windows,2.1kg,50652.0
420,acer,aspire r7,2 in 1 convertible,13.3,ips panel full hd / touchscreen 1920x1080,intel core i7 6500u 2.5ghz,8,256gb ssd,intel hd graphics 520,windows,1.6kg,85213.08
421,asus,zenbook flip,2 in 1 convertible,13.3,ips panel full hd / touchscreen 1920x1080,intel core i5 7200u 2.5ghz,8,256gb ssd,intel hd graphics 620,windows,1.27kg,100224.0
422,dell,inspiron 3567,notebook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,4,256gb ssd,amd radeon r5 m430,linux,2.3kg,64681.2
423,dell,latitude 3380,notebook,13.3,1366x768,intel core i3 6006u 2ghz,4,128gb ssd,intel hd graphics 520,windows,1.65kg,74412.0
424,hp,elitebook 1040,ultrabook,14.0,full hd 1920x1080,intel core i7 6500u 2.5ghz,8,256gb ssd,intel hd graphics 520,windows,1.43kg,162000.0
425,dell,inspiron 3567,notebook,15.6,1366x768,intel core i5 7200u 2.5ghz,8,1tb hdd,intel hd graphics 620,windows,2.14kg,58314.600000000006
426,lenovo,thinkpad e480,ultrabook,14.0,ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8,256gb ssd,amd radeon rx 550,windows,1.75kg,131261.04
427,lenovo,yoga 720-15ikb,2 in 1 convertible,15.6,ips panel 4k ultra hd / touchscreen 3840x2160,intel core i7 7700hq 2.8ghz,16,512gb ssd,nvidia geforce gtx 1050,windows,2kg,205092.0
428,chuwi,lapbook 12.3,notebook,12.3,ips panel retina display 2736x1824,intel celeron quad core n3450 1.1ghz,6,64gb flash storage,intel hd graphics 500,windows,1.4kg,48492.0
429,hp,probook 650,notebook,15.6,full hd 1920x1080,intel core i7 7820hq 2.9ghz,8,256gb ssd,intel hd graphics 630,windows,2.31kg,154116.0
430,asus,x542uq-dm117 (i3-7100u/8gb/1tb/geforce,notebook,15.6,full hd 1920x1080,intel core i3 7100u 2.4ghz,8,1tb hdd,nvidia geforce 940mx,linux,2.3kg,64476.0
431,dell,alienware 17,gaming,17.3,ips panel 2560x1440,intel core i7 7820hk 2.9ghz,16,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,windows,4.42kg,302292.0
432,dell,inspiron 7577,gaming,15.6,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,8,128gb ssd +  1tb hdd,nvidia geforce gtx 1050 ti,windows,2.62kg,125172.0
433,dell,inspiron 5570,notebook,15.6,full hd 1920x1080,intel core i7 8550u 1.8ghz,8,256gb ssd +  2tb hdd,amd radeon 530,windows,2.02kg,123379.2
434,dell,latitude 5480,ultrabook,14.0,full hd 1920x1080,intel core i7 7600u 2.8ghz,8,256gb ssd,intel hd graphics 620,linux,1.6kg,118692.0
435,hp,omen 17-w207nv,gaming,17.3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,12,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,windows,3.35kg,215892.0
436,mediacom,flexbook edge,2 in 1 convertible,11.6,ips panel full hd / touchscreen 1920x1080,intel celeron dual core n3350 1.1ghz,4,32gb ssd,intel hd graphics 500,windows,1.16kg,32292.0
437,samsung,chromebook 3,netbook,11.6,1366x768,intel celeron dual core n3060 1.6ghz,4,16gb flash storage,intel hd graphics 400,chrome os,1.15kg,29052.0
438,lenovo,thinkpad 13,notebook,13.3,ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,8,256gb ssd,intel hd graphics 620,windows,1.4kg,109080.0
439,lenovo,ideapad 320s-14ikb,notebook,14.0,ips panel full hd 1920x1080,intel core i3 7130u 2.7ghz,4,128gb ssd,intel hd graphics 620,windows,1.7kg,64692.0
440,lenovo,thinkpad t570,workstation,15.6,ips panel 4k ultra hd 3840x2160,intel core i7 7600u 2.8ghz,16,512gb ssd,nvidia geforce 940mx,windows,2.3kg,264060.0
441,lenovo,thinkpad p51,notebook,15.6,full hd 1920x1080,intel core i7 7820hq 2.9ghz,16,512gb ssd,nvidia quadro m2200m,windows,2.5kg,264492.0
442,asus,rog strix,gaming,17.3,full hd 1920x1080,amd ryzen 1600 3.2ghz,8,256gb ssd +  1tb hdd,amd radeon rx 580,windows,3.2kg,183060.0
443,hp,15-ra044nv (n3060/4gb/500gb/w10),notebook,15.6,1366x768,intel celeron dual core n3060 1.6ghz,4,500gb hdd,intel hd graphics 400,windows,2.1kg,37476.0
444,google,pixelbook (core,ultrabook,12.3,touchscreen 2400x1600,intel core i7 7y75 1.3ghz,16,512gb ssd,intel hd graphics 615,chrome os,1.1kg,237492.0
445,lenovo,thinkpad t470s,ultrabook,14.0,2560x1440,intel core i7 7500u 2.7ghz,24,512gb ssd,intel hd graphics 620,windows,1.32kg,257256.0
446,asus,vivobook max,notebook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,4,256gb ssd,intel hd graphics 620,linux,2kg,60372.0
447,lenovo,ideapad 320-15ast,notebook,17.3,1600x900,amd a6-series 9220 2.5ghz,8,1tb hdd,amd radeon r4,windows,2.8kg,56052.0
448,dell,inspiron 5570,notebook,15.6,full hd 1920x1080,intel core i5 8250u 1.6ghz,4,256gb ssd,amd radeon 530,windows,2.2kg,80892.0
449,lenovo,thinkpad x270,ultrabook,12.5,ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8,256gb ssd,intel hd graphics 620,windows,1.36kg,154332.0
450,lenovo,ideapad 320-15iap,notebook,15.6,full hd 1920x1080,intel pentium quad core n4200 1.1ghz,4,128gb ssd,intel hd graphics 505,windows,2.2kg,37692.0
451,hp,omen 15-ax205na,gaming,15.6,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,8,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows,2.2kg,118692.0
452,dell,latitude 5480,notebook,14.0,full hd 1920x1080,intel core i5 7440hq 2.8ghz,8,256gb ssd,nvidia geforce 930mx,windows,1.64kg,127332.0
453,acer,aspire es1-572,notebook,15.6,1366x768,intel core i5 7200u 2.5ghz,4,500gb hdd,intel hd graphics 620,linux,2.4kg,47714.4
454,dell,precision 3520,workstation,15.6,full hd 1920x1080,intel xeon e3-1505m v6 3ghz,8,64gb flash storage +  1tb hdd,nvidia quadro m620,windows,2.23kg,215244.0
455,msi,gv62 7rd-1686nl,gaming,15.6,full hd 1920x1080,intel core i5 7300hq 2.5ghz,8,256gb ssd,nvidia geforce gtx 1050,windows,2.2kg,110995.92
456,microsoft,surface laptop,ultrabook,13.5,touchscreen 2256x1504,intel core i7 7660u 2.5ghz,16,512gb ssd,intel iris plus graphics 640,windows s,1.25kg,279612.0
457,hp,15-bs024nv (i5-7200u/8gb/128gb/w10),notebook,15.6,1366x768,intel core i5 7200u 2.5ghz,8,128gb ssd,intel hd graphics 620,windows,1.91kg,63612.0
458,dell,precision 3520,workstation,15.6,ips panel full hd 1920x1080,intel core i7 6820hq 2.7ghz,16,256gb ssd,nvidia quadro m620,windows,2.17kg,213300.0
459,hp,probook 650,workstation,15.6,ips panel full hd 1920x1080,intel core i7 7820hq 2.9ghz,8,512gb ssd,intel hd graphics 620,windows,2.31kg,165672.0
460,lenovo,thinkpad t470,notebook,14.0,full hd 1920x1080,intel core i5 7200u 2.5ghz,8,256gb ssd,intel hd graphics 620,windows,1.65kg,145260.0
461,dell,inspiron 5570,notebook,15.6,full hd 1920x1080,intel core i7 8550u 1.8ghz,8,128gb ssd +  1tb hdd,amd radeon 530,windows,2.36kg,105732.0
462,dell,inspiron 3168,2 in 1 convertible,11.6,touchscreen 1366x768,intel pentium quad core n3710 1.6ghz,4,500gb hdd,intel hd graphics 405,windows,1.47kg,51732.0
463,dell,alienware 17,notebook,17.3,ips panel full hd 1920x1080,intel core i7 7700hq 2.7ghz,8,1tb hdd,nvidia geforce gtx 1060,windows,4.42kg,220968.0
464,microsoft,surface laptop,ultrabook,13.5,touchscreen 2256x1504,intel core m m3-7y30 2.2ghz,4,128gb ssd,intel hd graphics 615,windows s,1.252kg,106812.0
465,microsoft,surface laptop,ultrabook,13.5,touchscreen 2256x1504,intel core i7 7660u 2.5ghz,8,256gb ssd,intel iris plus graphics 640,windows s,1.25kg,194292.0
466,hp,17-bs092nd (i3-6006u/8gb/256gb/w10),notebook,17.3,1600x900,intel core i3 6006u 2ghz,8,256gb ssd,intel hd graphics 520,windows,2.5kg,69109.2
467,acer,aspire e5-576g,notebook,15.6,full hd 1920x1080,intel core i3 6006u 2ghz,4,1tb hdd,nvidia geforce 940mx,windows,2.23kg,58752.0
468,acer,travelmate b,netbook,11.6,1366x768,intel celeron dual core n3060 1.6ghz,4,128gb ssd,intel hd graphics 400,windows,1.4kg,46980.0
469,asus,pro p2540ua-ab51,notebook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,8,1tb hdd,intel hd graphics 620,windows,2.37kg,80892.0
470,lenovo,ideapad 510s-14ikb,notebook,14.0,ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,8,512gb ssd,amd radeon r7 m460,no os,1.5kg,86292.0
471,lenovo,thinkpad p51,notebook,15.6,full hd 1920x1080,intel core i7 7820hq 2.9ghz,8,256gb ssd,nvidia quadro m2200m,windows,2.67kg,225720.0
472,asus,x541na-pd1003y (n4200/4gb/500gb/w10),notebook,15.6,1366x768,intel pentium quad core n4200 1.1ghz,4,500gb hdd,intel hd graphics 500,windows,2kg,32832.0
473,acer,aspire 5,notebook,15.6,1366x768,intel core i3 6006u 2ghz,4,500gb hdd,nvidia geforce gtx 940mx,windows,2.2kg,50652.0
474,dell,inspiron 5570,notebook,15.6,full hd 1920x1080,intel core i5 8250u 1.6ghz,8,2tb hdd,amd radeon 530,windows,2.02kg,81972.0
475,hp,omen 17-an006nv,gaming,17.3,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,12,1tb hdd,nvidia geforce gtx 1060,windows,3.78kg,183492.0
476,lenovo,thinkpad t460s,ultrabook,14.0,ips panel quad hd+ 2560x1440,intel core i7 6600u 2.6ghz,12,256gb ssd,intel hd graphics 520,windows,1.4kg,200664.0
477,hp,spectre x360,2 in 1 convertible,13.3,ips panel 4k ultra hd / touchscreen 3840x2160,intel core i7 8550u 1.8ghz,8,512gb ssd,intel uhd graphics 620,windows,1.29kg,215892.0
478,hp,zbook 15u,notebook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,8,500gb hdd,amd firepro w4190m,windows,1.9kg,124632.0
479,google,pixelbook (core,ultrabook,12.3,touchscreen 2400x1600,intel core i5 7y57 1.2ghz,8,128gb ssd,intel hd graphics 615,chrome os,1.1kg,137700.0
480,dell,latitude 7390,ultrabook,13.3,full hd / touchscreen 1920x1080,intel core i5 8250u 1.6ghz,8,256gb ssd,intel uhd graphics 620,windows,1.42kg,198919.8
481,asus,zenbook pro,notebook,15.6,ips panel 4k ultra hd 3840x2160,intel core i7 6700hq 2.6ghz,12,128gb ssd +  1tb hdd,intel hd graphics 530,windows,2.06kg,140292.0
482,dell,latitude e5470,notebook,14.0,1366x768,intel core i3 6100u 2.3ghz,8,128gb ssd,intel hd graphics 520,windows,1.79kg,79920.0
483,dell,precision m5520,workstation,15.6,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8,256gb ssd,nvidia quadro m1200,windows,1.78kg,260064.0
484,lenovo,thinkpad t470,notebook,14.0,full hd 1920x1080,intel core i5 7200u 2.5ghz,8,180gb ssd,intel hd graphics 620,windows,1.7kg,147312.0
485,dell,inspiron 3576,notebook,15.6,full hd 1920x1080,intel core i5 8250u 1.6ghz,8,1tb hdd,amd radeon 520,windows,2.2kg,72900.0
486,toshiba,portege x30-d-10j,notebook,13.3,ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8,256gb ssd,intel hd graphics 620,windows,1.05kg,180576.0
487,dell,inspiron 7570,notebook,15.6,ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8,512gb ssd,nvidia geforce 940mx,windows,2.16kg,136296.0
488,dell,vostro 3568,notebook,15.6,1366x768,intel core i3 7100u 2.4ghz,4,1tb hdd,intel hd graphics 620,windows,2.18kg,63352.8
489,hp,probook 430,notebook,13.3,ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,4,128gb ssd,intel uhd graphics 620,windows,1.49kg,78408.0
490,chuwi,"lapbook 15,6",notebook,15.6,full hd 1920x1080,intel atom x5-z8350 1.44ghz,4,64gb flash storage,intel hd graphics,windows,1.89kg,26881.2
491,lenovo,thinkpad e570,notebook,15.6,1366x768,intel core i3 6006u 2.0ghz,4,128gb ssd,intel hd graphics 520,windows,2.3kg,61020.0
492,lenovo,thinkpad e480,notebook,14.0,ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,8,256gb ssd,intel uhd graphics 620,windows,1.75kg,113292.0
493,dell,precision 3520,workstation,15.6,ips panel full hd 1920x1080,intel core i7 6820hq 2.7ghz,16,512gb ssd,nvidia quadro m620,windows,2.17kg,252504.0
494,dell,xps 15,notebook,15.6,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16,512gb ssd,nvidia geforce gtx 1050,windows,2.06kg,205092.0
495,lenovo,thinkpad x270,ultrabook,12.5,ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,16,512gb ssd,intel hd graphics 620,windows,1.36kg,194184.0
496,asus,zenbook ux390ua,ultrabook,12.5,full hd 1920x1080,intel core i7 7500u 2.7ghz,16,512gb ssd,intel hd graphics 620,windows,0.91kg,210600.0
497,lenovo,thinkpad e570,notebook,15.6,ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,8,256gb ssd,nvidia geforce 940mx,windows,2.3kg,109294.92
